name,address,city,country,postcode,state,categories,menu item,item value,currency,item description
Little Pizza Paradise,Cascade Village Mall Across From Target,Bend,US,97701,OR,Pizza Place,Bianca Pizza,22.5,USD,
Little Pizza Paradise,Cascade Village Mall Across From Target,Bend,US,97701,OR,Pizza Place,Cheese Pizza,18.95,USD,
The Brentwood,148 S Barrington Ave,Los Angeles,US,90049,Brentwood,"American Restaurant,Bar,Bakery","Pizza, Margherita",12,USD,
Caf������ Milano,3251 Prospect St N W,Washington,US,20007,DC,"Restaurant,Restaurants",Pizza Bismarck,,,"Pizza with eggs, bacon, tomatoes and mozzarella cheese"
The Dining Room @ The Woodlands Resort,2301 Milbend,Spring,US,77380,TX,"restaurants,casual dining",Margherita Pizza,15,USD,
Verace: True Italian,599 Main St,Islip,US,11751,Islip Manor,Restaurant,Pancetta Egg Pizza,15,USD,"tomato, roasted garlic, pecorino"
Kaydee Kats!,4109 N Prospect Rd,Peoria Heights,US,61616,IL,"Pizza,Take Out Restaurants,Restaurants,Burger Joint",Bacon Cheeseburger Pizza,9.99,USD,
J & G Restaurant,35 S Main St,East Granby,US,6026,CT,"American Restaurant,Italian Restaurant,American Restaurant and Italian Restaurant",Bbq Chicken Pizza,19.85,USD,"Grilled BBQ chicken breast strips, broccoli, bermuda onions, red sauce and mozzarella cheese."
Wolfgang Puck Bar & Grill - Summerlin,10955 Oval Park Dr,Las Vegas,US,89135,NV,Restaurant,Margherita Pizza,12,USD,"mozzarella, san marzano tomato, basil"
"Cedar + Stone, Urban Table",2141 Lindau Ln,Minneapolis,US,55425,MN,Restaurant,Blt Pizza,16,USD,"pork belly, fontina, cage free egg, mizuna"
"Anastasia���s Pizza, Oven and Grill",12 Union Ave,Framingham,US,1702,MA,"Pizza Place,Sandwich Place,Italian Restaurant,Pizza Place, Sandwich Place, and Italian Restaurant",Taco Pizza,9.5,USD,
Penn State Sub Shop #3,1788 N Atherton St,State College,US,16803,PA,Sandwich Place,4. Pizza Cheese Steak,8.6,USD,"Pepperoni, salami, onions, pizza sauce, provolone."
Cvs/pharmacy,Mcdermott,Allen,US,75013,TX,Pharmacy,White Pizza,21.95,USD,"Alfredo sauce, fresh spinach, red bell pepper, fresh garlic, broccoli and mozzarella cheese"
Wolfgangpuck Pizza | Bar,607 Green Valley Rd,Greensboro,US,27408,Guilford Courthouse National,Pizza Place,Barbecue Chicken Pizza,12,USD,"Red onions, barbecue sauce."
